heartrate,activityid,time
93,107,2021-01-04 11:44:08.091000000
93,107,2021-01-04 11:44:09.091000000
93,107,2021-01-04 11:44:10.091000000
93,107,2021-01-04 11:44:11.091000000
93,107,2021-01-04 11:44:12.091000000
93,107,2021-01-04 11:44:13.091000000
93,107,2021-01-04 11:44:14.091000000
93,107,2021-01-04 11:44:15.091000000
92,107,2021-01-04 11:44:16.091000000
91,107,2021-01-04 11:44:17.091000000
90,107,2021-01-04 11:44:18.091000000
90,107,2021-01-04 11:44:19.091000000
89,107,2021-01-04 11:44:20.091000000
88,107,2021-01-04 11:44:21.091000000
89,107,2021-01-04 11:44:22.091000000
89,107,2021-01-04 11:44:23.091000000
90,107,2021-01-04 11:44:24.091000000
90,107,2021-01-04 11:44:25.091000000
90,107,2021-01-04 11:44:26.091000000
89,107,2021-01-04 11:44:27.091000000
88,107,2021-01-04 11:44:28.091000000
87,107,2021-01-04 11:44:29.091000000
86,107,2021-01-04 11:44:30.091000000
85,107,2021-01-04 11:44:31.091000000
85,107,2021-01-04 11:44:32.091000000
85,107,2021-01-04 11:44:33.091000000
84,107,2021-01-04 11:44:34.091000000
84,107,2021-01-04 11:44:35.091000000
84,107,2021-01-04 11:44:36.091000000
84,107,2021-01-04 11:44:37.091000000
84,107,2021-01-04 11:44:38.091000000
84,107,2021-01-04 11:44:39.091000000
84,107,2021-01-04 11:44:40.091000000
84,107,2021-01-04 11:44:41.091000000
84,107,2021-01-04 11:44:42.091000000
83,107,2021-01-04 11:44:43.091000000
84,107,2021-01-04 11:44:44.091000000
83,107,2021-01-04 11:44:45.091000000
83,107,2021-01-04 11:44:46.091000000
82,107,2021-01-04 11:44:47.091000000
82,107,2021-01-04 11:44:48.091000000
81,107,2021-01-04 11:44:49.091000000
81,107,2021-01-04 11:44:50.091000000
80,107,2021-01-04 11:44:51.091000000
80,107,2021-01-04 11:44:52.091000000
79,107,2021-01-04 11:44:53.091000000
79,107,2021-01-04 11:44:54.091000000
78,107,2021-01-04 11:44:55.091000000
78,107,2021-01-04 11:44:56.091000000
79,107,2021-01-04 11:44:57.091000000
78,107,2021-01-04 11:44:58.091000000
99,105,2021-01-04 12:07:21.979000000
99,105,2021-01-04 12:07:22.979000000
98,105,2021-01-04 12:07:23.979000000
98,105,2021-01-04 12:07:24.979000000
98,105,2021-01-04 12:07:25.979000000
98,105,2021-01-04 12:07:26.979000000
98,105,2021-01-04 12:07:27.979000000
99,105,2021-01-04 12:07:28.979000000
100,105,2021-01-04 12:07:29.979000000
101,105,2021-01-04 12:07:30.979000000
101,105,2021-01-04 12:07:31.979000000
101,105,2021-01-04 12:07:32.979000000
102,105,2021-01-04 12:07:33.979000000
103,105,2021-01-04 12:07:34.979000000
104,105,2021-01-04 12:07:35.979000000
106,105,2021-01-04 12:07:36.979000000
106,105,2021-01-04 12:07:37.979000000
107,105,2021-01-04 12:07:38.979000000
107,105,2021-01-04 12:07:39.979000000
107,105,2021-01-04 12:07:40.979000000
108,105,2021-01-04 12:07:41.979000000
109,105,2021-01-04 12:07:42.979000000
110,105,2021-01-04 12:07:43.979000000
110,105,2021-01-04 12:07:44.979000000
110,105,2021-01-04 12:07:45.979000000
110,105,2021-01-04 12:07:46.979000000
110,105,2021-01-04 12:07:47.979000000
109,105,2021-01-04 12:07:48.979000000
108,105,2021-01-04 12:07:49.979000000
108,105,2021-01-04 12:07:50.979000000
107,105,2021-01-04 12:07:51.979000000
106,105,2021-01-04 12:07:52.979000000
105,105,2021-01-04 12:07:53.979000000
104,105,2021-01-04 12:07:54.979000000
104,105,2021-01-04 12:07:55.979000000
104,105,2021-01-04 12:07:56.979000000
104,105,2021-01-04 12:07:57.979000000
103,105,2021-01-04 12:07:58.979000000
102,105,2021-01-04 12:07:59.979000000
102,105,2021-01-04 12:08:00.979000000
101,105,2021-01-04 12:08:01.979000000
101,105,2021-01-04 12:08:02.979000000
101,105,2021-01-04 12:08:03.979000000
100,105,2021-01-04 12:08:04.979000000
100,105,2021-01-04 12:08:05.979000000
100,105,2021-01-04 12:08:06.979000000
101,105,2021-01-04 12:08:07.979000000
101,105,2021-01-04 12:08:08.979000000
101,105,2021-01-04 12:08:09.979000000
101,105,2021-01-04 12:08:10.979000000
102,105,2021-01-04 12:08:11.979000000
102,105,2021-01-04 12:08:12.979000000
101,105,2021-01-04 12:08:13.979000000
101,105,2021-01-04 12:08:14.979000000
100,105,2021-01-04 12:08:15.979000000
100,105,2021-01-04 12:08:16.979000000
99,105,2021-01-04 12:08:17.979000000
100,105,2021-01-04 12:08:18.979000000
100,105,2021-01-04 12:08:19.979000000
100,105,2021-01-04 12:08:20.979000000
84,101,2021-01-04 12:12:45.341000000
84,101,2021-01-04 12:12:46.341000000
84,101,2021-01-04 12:12:47.341000000
84,101,2021-01-04 12:12:48.341000000
84,101,2021-01-04 12:12:49.341000000
85,101,2021-01-04 12:12:50.341000000
85,101,2021-01-04 12:12:51.341000000
85,101,2021-01-04 12:12:52.341000000
84,101,2021-01-04 12:12:53.341000000
84,101,2021-01-04 12:12:54.341000000
84,101,2021-01-04 12:12:55.341000000
84,101,2021-01-04 12:12:56.341000000
84,101,2021-01-04 12:12:57.341000000
84,101,2021-01-04 12:12:58.341000000
84,101,2021-01-04 12:12:59.341000000
84,101,2021-01-04 12:13:00.341000000
84,101,2021-01-04 12:13:01.341000000
84,101,2021-01-04 12:13:02.341000000
85,101,2021-01-04 12:13:03.341000000
86,101,2021-01-04 12:13:04.341000000
87,101,2021-01-04 12:13:05.341000000
94,101,2021-01-04 12:13:06.341000000
99,101,2021-01-04 12:13:07.341000000
105,101,2021-01-04 12:13:08.341000000
109,101,2021-01-04 12:13:09.341000000
113,101,2021-01-04 12:13:10.341000000
115,101,2021-01-04 12:13:11.341000000
117,101,2021-01-04 12:13:12.341000000
